X,Y
1123,1617
1123,1618
1121,1618
1121,1619
1120,1619
1120,1620
1117,1620
1117,1621
1115,1621
1115,1622
1114,1622
1114,1623
1112,1623
1112,1624
1108,1624
1108,1625
1104,1625
1104,1626
1103,1626
1103,1625
1102,1625
1102,1626
1100,1626
1100,1627
1097,1627
1097,1628
1093,1628
1093,1629
1087,1629
1087,1628
1085,1628
1085,1627
1077,1627
1077,1628
1075,1628
1075,1629
1069,1629
1069,1628
1063,1628
1063,1627
1062,1627
1062,1626
1060,1626
1060,1625
1055,1625
1055,1626
1053,1626
1053,1627
1044,1627
1044,1626
1041,1626
1041,1625
1040,1625
1040,1624
1039,1624
1039,1623
1038,1623
1038,1622
1035,1622
1035,1623
1034,1623
1034,1624
1030,1624
1030,1621
1028,1621
1028,1620
1026,1620
1026,1619
1022,1619
1022,1620
1021,1620
1021,1621
1018,1621
1018,1619
1017,1619
1017,1617
1013,1617
1013,1619
1011,1619
1011,1620
1010,1620
1010,1621
1011,1621
1011,1622
1012,1622
1012,1623
1013,1623
1013,1624
1014,1624
1014,1625
1015,1625
1015,1626
1016,1626
1016,1631
1015,1631
1015,1632
1014,1632
1014,1633
1013,1633
1013,1634
1012,1634
1012,1635
1013,1635
1013,1645
1012,1645
1012,1647
1011,1647
1011,1650
1010,1650
1010,1659
1011,1659
1011,1664
1010,1664
1010,1665
1009,1665
1009,1669
1008,1669
1008,1671
1007,1671
1007,1675
1008,1675
1008,1677
1006,1677
1006,1676
1003,1676
1003,1675
1002,1675
1002,1674
1001,1674
1001,1672
1000,1672
1000,1671
997,1671
997,1672
996,1672
996,1673
995,1673
995,1674
994,1674
994,1675
992,1675
992,1676
990,1676
990,1677
987,1677
987,1678
986,1678
986,1679
987,1679
987,1680
989,1680
989,1681
990,1681
990,1682
991,1682
991,1684
993,1684
993,1687
992,1687
992,1688
991,1688
991,1685
987,1685
987,1686
981,1686
981,1687
977,1687
977,1688
975,1688
975,1689
972,1689
972,1690
970,1690
970,1691
968,1691
968,1692
965,1692
965,1693
963,1693
963,1692
961,1692
961,1693
960,1693
960,1694
959,1694
959,1695
957,1695
957,1696
955,1696
955,1697
954,1697
954,1698
955,1698
955,1699
957,1699
957,1700
955,1700
955,1701
951,1701
951,1702
950,1702
950,1704
948,1704
948,1705
946,1705
946,1706
944,1706
944,1707
937,1707
937,1706
936,1706
936,1705
931,1705
931,1704
929,1704
929,1703
