X,Y
1102,1460
1102,1459
1103,1459
1103,1457
1102,1457
1102,1456
1101,1456
1101,1454
1098,1454
1098,1451
1103,1451
1103,1452
1104,1452
1104,1451
1110,1451
1110,1452
1120,1452
1120,1450
1122,1450
1122,1451
1125,1451
1125,1452
1128,1452
1128,1453
1130,1453
1130,1455
1129,1455
1129,1456
1135,1456
1135,1457
1136,1457
1136,1452
1137,1452
1137,1453
1138,1453
1138,1454
1139,1454
1139,1455
1140,1455
1140,1454
1142,1454
1142,1453
1144,1453
1144,1450
1147,1450
1147,1449
1149,1449
1149,1448
1152,1448
1152,1446
1155,1446
1155,1445
1157,1445
1157,1444
1159,1444
1159,1443
1162,1443
1162,1442
1168,1442
1168,1441
1179,1441
1179,1442
1183,1442
1183,1444
1189,1444
1189,1445
1194,1445
1194,1446
1195,1446
1195,1447
1196,1447
1196,1448
1198,1448
1198,1447
1201,1447
1201,1449
1200,1449
1200,1448
1198,1448
1198,1449
1197,1449
1197,1450
1196,1450
1196,1453
1195,1453
1195,1455
1196,1455
1196,1456
1197,1456
1197,1455
1199,1455
1199,1454
1200,1454
1200,1452
1203,1452
1203,1450
1204,1450
1204,1448
1206,1448
1206,1449
1207,1449
1207,1450
1208,1450
1208,1449
1212,1449
1212,1448
1213,1448
1213,1447
1214,1447
1214,1446
1216,1446
1216,1445
1218,1445
1218,1444
1225,1444
1225,1443
1229,1443
1229,1447
1231,1447
1231,1448
1232,1448
1232,1447
1239,1447
1239,1446
1241,1446
1241,1447
1243,1447
1243,1448
1244,1448
1244,1449
1245,1449
1245,1451
1246,1451
1246,1452
1248,1452
1248,1453
1249,1453
1249,1454
1250,1454
1250,1456
1251,1456
1251,1454
1252,1454
1252,1453
1253,1453
1253,1451
1254,1451
1254,1450
1255,1450
1255,1449
1256,1449
1256,1450
1261,1450
1261,1451
1265,1451
1265,1450
1272,1450
1272,1451
1273,1451
1273,1450
1277,1450
1277,1449
1279,1449
1279,1450
1286,1450
1286,1451
1293,1451
1293,1452
1301,1452
1301,1453
1306,1453
1306,1454
1308,1454
1308,1455
1309,1455
1309,1456
1311,1456
1311,1457
1313,1457
1313,1458
1314,1458
1314,1459
1316,1459
1316,1460
1318,1460
1318,1461
1320,1461
1320,1462
1321,1462
1321,1463
1322,1463
1322,1464
1323,1464
1323,1467
1324,1467
1324,1469
1325,1469
1325,1472
1326,1472
1326,1474
1325,1474
1325,1484
1324,1484
1324,1486
1323,1486
1323,1489
1322,1489
1322,1490
1323,1490
1323,1491
1324,1491
1324,1498
1323,1498
1323,1501
1322,1501
1322,1505
1321,1505
1321,1507
1320,1507
1320,1509
1319,1509
1319,1512
1318,1512
1318,1515
1317,1515
1317,1516
1316,1516
1316,1518
1315,1518
1315,1519
1314,1519
1314,1520
1313,1520
1313,1522
1311,1522
1311,1524
1310,1524
1310,1525
1309,1525
1309,1526
1308,1526
1308,1527
1307,1527
1307,1528
1306,1528
1306,1530
1304,1530
1304,1532
1302,1532
1302,1533
1301,1533
1301,1535
1300,1535
1300,1536
1299,1536
1299,1537
1298,1537
1298,1538
1297,1538
1297,1539
1295,1539
1295,1540
1294,1540
1294,1541
1293,1541
1293,1542
1292,1542
1292,1543
1291,1543
1291,1544
1290,1544
1290,1545
1288,1545
1288,1546
1287,1546
1287,1547
1285,1547
1285,1548
1284,1548
1284,1549
1283,1549
1283,1550
1282,1550
1282,1551
1281,1551
1281,1552
1280,1552
1280,1553
1279,1553
1279,1554
1277,1554
1277,1555
1276,1555
1276,1556
1275,1556
1275,1557
1274,1557
1274,1558
1273,1558
1273,1559
1272,1559
1272,1560
1270,1560
1270,1562
1268,1562
1268,1563
1267,1563
1267,1564
1266,1564
1266,1565
1265,1565
1265,1566
1264,1566
1264,1567
1262,1567
1262,1568
1261,1568
1261,1569
1260,1569
1260,1570
1258,1570
1258,1572
1257,1572
1257,1573
1256,1573
1256,1574
1255,1574
1255,1575
1254,1575
1254,1576
1252,1576
1252,1578
1250,1578
1250,1579
1249,1579
1249,1580
1248,1580
1248,1581
1247,1581
1247,1582
1246,1582
1246,1583
1245,1583
1245,1584
1244,1584
1244,1585
1243,1585
1243,1586
1242,1586
1242,1587
1241,1587
1241,1588
1240,1588
1240,1589
1239,1589
1239,1590
1238,1590
1238,1591
1237,1591
1237,1592
1236,1592
1236,1593
1235,1593
1235,1594
1234,1594
1234,1595
1233,1595
1233,1596
1232,1596
1232,1597
1231,1597
1231,1598
1230,1598
1230,1599
1229,1599
1229,1600
1228,1600
1228,1601
1227,1601
1227,1602
1226,1602
1226,1604
1225,1604
1225,1605
1224,1605
